Date,AAPL,JNJ,JPM,WMT,XOM
2015-01-05,-0.028575906657272453,-0.00700905705387948,-0.03153740007264077,-0.002914994879695077,-0.027742855506971517
2015-01-06,9.434479293973372e-05,-0.004925928223671232,-0.026270809431693538,0.0076764122373663025,-0.005330435168941618
2015-01-07,0.013924484264275332,0.021835593773104307,0.001524741616702962,0.02618628170961038,0.010081736547763134
2015-01-08,0.03770289530119352,0.007832242358641972,0.02210045518714881,0.02088688061534349,0.016507253591325752
2015-01-09,0.0010717704139248509,-0.01372299124897646,-0.017539868317400446,-0.01245740359957691,-0.001410671502596417
2015-01-12,-0.02494909755423092,-0.0034362385056928425,-0.008631947464114333,0.007470772207211174,-0.019405340190121436
2015-01-13,0.008839036224597956,0.0017195952190036876,0.00016992374405064,-0.007918641971565126,-0.003659693693393057
2015-01-14,-0.0038175097005511078,-0.007281333025673787,-0.035109392626113956,-0.030698018445712728,-0.0028930453648639935
2015-01-15,-0.02751559033098229,-0.014625358522413721,-0.03256089804495876,0.008851119279890518,-0.008729906263748843
2015-01-16,-0.007800404245652318,0.015010193518279612,0.016949362202010005,-0.00700541113199646,0.02399044419524718
2015-01-20,0.02543123326275831,-0.026787735415557658,-0.003941357599035334,-0.0009224282441864429,-0.00032935349425944886
2015-01-21,0.007605353218217035,0.006004221477811449,0.0032258258516681044,-0.0005770115078133755,0.008526571611431779
2015-01-22,0.025682628022754967,0.018088583169451878,0.02996361992224534,0.018978660747505243,0.010826404022919407
2015-01-23,0.005146754871982493,-0.015148974633025485,-0.015927469816287666,0.002375236591945048,-0.021551007476466703
2015-01-26,0.001061741280485608,0.0005871538712101516,0.0015867469031122523,0.0013549782322099006,0.009526402900018332
2015-01-27,-0.03564088127512168,-0.0016640003707637317,-0.010091446932673805,-0.012489194686088397,-0.008866355614970017
2015-01-28,0.054992528360742664,-0.005992910149843902,-0.026139661656114484,-0.00814401213013479,-0.0335413726906491
2015-01-29,0.03065886837127384,0.00882946514181941,0.01666412018665433,0.010312505444056467,-0.004216144049612124
2015-01-30,-0.014742449121184454,-0.022122322360095464,-0.02344456200277279,-0.031733753434050486,-0.001828090678782928
