Date,Portfolio Return
2015-01-05,-0.019483296390713452
2015-01-06,-0.0056032484967549
2015-01-07,0.014929452878816881
2015-01-08,0.020986161897444393
2015-01-09,-0.008746848954116914
2015-01-12,-0.009649863997172341
2015-01-13,-0.00021494876076026274
2015-01-14,-0.015812046689408915
2015-01-15,-0.014493474372300173
2015-01-16,0.00795625666876087
2015-01-20,-0.0012613062471264439
2015-01-21,0.004967296104767619
2015-01-22,0.02056201540644333
2015-01-23,-0.008702004806533582
2015-01-26,0.0028130546274475377
2015-01-27,-0.01395899388881948
2015-01-28,-0.002709855170660064
2015-01-29,0.012810967001897414
2015-01-30,-0.018785639192117558
2015-02-02,0.014234266456049327
2015-02-03,0.014210386563367164
2015-02-04,-0.0021746403263956378
2015-02-05,0.008352899031760983
2015-02-06,-0.0011256445247147609
2015-02-09,-0.004488966640118817
2015-02-10,0.009388690434938817
2015-02-11,0.0019104752210288235
2015-02-12,0.005773593859115596
2015-02-13,0.005618935739798923
2015-02-17,0.003901535067193805
2015-02-18,-0.005182818723685877
2015-02-19,-0.009279166619085918
2015-02-20,0.00703904260187286
2015-02-23,0.003501949862200988
2015-02-24,0.004904733408779284
2015-02-25,-0.00602160487943751
2015-02-26,0.005826682052596855
2015-02-27,-0.004956939954913319
2015-03-02,0.0030211969502893965
2015-03-03,-0.002792390731029272
2015-03-04,-0.005042937546857626
2015-03-05,-0.0012866607549866622
2015-03-06,-0.012479830676468977
2015-03-09,0.003657862967547753
2015-03-10,-0.015867768692036797
2015-03-11,-0.008358420048887946
2015-03-12,0.014063552382912976
2015-03-13,-0.004767605815661621
2015-03-16,0.014051690406535375
2015-03-17,-0.0022294326697142163
2015-03-18,0.010166699977567972
2015-03-19,-0.009025313331751796
2015-03-20,0.004489960206036749
2015-03-23,0.003643551512174837
2015-03-24,-0.0076470265805311565
2015-03-25,-0.01534245529725484
2015-03-26,0.0011489973114056638
2015-03-27,-0.004339634935908696
2015-03-30,0.01994514834119122
2015-03-31,-0.00865274620475898
2015-04-01,-0.008740067180648774
2015-04-02,0.004503812871807216
2015-04-06,0.00509486550320818
2015-04-07,0.000777053768206764
2015-04-08,-0.0024353188378742267
2015-04-09,0.0062331860873630135
2015-04-10,0.004664074162575445
2015-04-13,-0.0034912483745424983
2015-04-14,0.004519205975670871
2015-04-15,0.006936752518425778
2015-04-16,-0.005850503525719818
2015-04-17,-0.011058767126218193
2015-04-20,0.009027143744334637
2015-04-21,-0.005124011306955221
2015-04-22,0.00759962813647518
2015-04-23,0.0034385386307582673
2015-04-24,0.0019587075788826042
2015-04-27,0.0015187668551838393
2015-04-28,-0.0010810890208810483
2015-04-29,-0.004158801733211086
2015-04-30,-0.010458896905976142
2015-05-01,0.014335478143268859
2015-05-04,0.0053864535190186955
2015-05-05,-0.011410153480896626
2015-05-06,-0.004506347381677159
2015-05-07,0.003836421438626486
2015-05-08,0.01503722911297743
2015-05-11,-0.007504484728978556
2015-05-12,0.0003490549613053369
