Date,AAPL,JNJ,JPM,WMT,XOM
2015-01-02,24.1717529296875,75.73739624023438,46.066795349121094,23.07231330871582,56.777896881103516
2015-01-05,23.490798950195312,75.20840454101562,44.63663864135742,23.005155563354492,55.224365234375
2015-01-06,23.49301528930664,74.8388442993164,43.47926712036133,23.182432174682617,54.93077850341797
2015-01-07,23.822431564331055,76.490966796875,43.54561233520508,23.79751205444336,55.48737716674805
2015-01-08,24.73775291442871,77.09241485595703,44.51870346069336,24.299795150756836,56.41092300415039
2015-01-09,24.764280319213867,76.04170227050781,43.744659423828125,23.998960494995117,56.33140182495117
2015-01-12,24.154077529907227,75.78085327148438,43.368682861328125,24.178922653198242,55.248809814453125
2015-01-13,24.36852264404297,75.9112777709961,43.37605285644531,23.98821449279785,55.0469856262207
2015-01-14,24.275672912597656,75.36054992675781,41.87957000732422,23.263011932373047,54.887962341308594
2015-01-15,23.616819381713867,74.26639556884766,40.53789520263672,23.469829559326172,54.41088104248047
2015-01-16,23.43331527709961,75.38955688476562,41.23084259033203,23.305988311767578,55.73200607299805
2015-01-20,24.036895751953125,73.3968505859375,41.06865692138672,23.284500122070312,55.713653564453125
2015-01-21,24.220401763916016,73.8388671875,41.201351165771484,23.271068572998047,56.190731048583984
2015-01-22,24.850502014160156,75.18666076660156,42.45457458496094,23.71693992614746,56.8023796081543
2015-01-23,24.978731155395508,74.05624389648438,41.78373718261719,23.773340225219727,55.59132766723633
2015-01-26,25.005266189575195,74.09973907470703,41.85009002685547,23.805574417114258,56.123443603515625
2015-01-27,24.129751205444336,73.9765396118164,41.42988586425781,23.51011085510254,55.62803268432617
2015-01-28,25.493871688842773,73.53453063964844,40.36095428466797,23.319421768188477,53.79313659667969
2015-01-29,26.28759002685547,74.18667602539062,41.03916931152344,23.561147689819336,53.56681442260742
2015-01-30,25.902889251708984,72.56351470947266,40.08821487426758,22.82520294189453,53.46897888183594
2015-02-02,26.227893829345703,73.06352233886719,40.89173889160156,23.021276473999023,54.79010772705078
2015-02-03,26.232311248779297,74.24464416503906,41.81322479248047,23.15020179748535,56.423152923583984
2015-02-04,26.43350601196289,73.44756317138672,41.56257629394531,23.273752212524414,55.939964294433594
2015-02-05,26.62217140197754,74.24464416503906,41.85009002685547,23.44296646118164,56.49043655395508
2015-02-06,26.397994995117188,73.25916290283203,42.675724029541016,23.456403732299805,56.38567352294922
2015-02-09,26.573339462280273,72.30266571044922,42.62413024902344,23.07499885559082,56.42266082763672
2015-02-10,27.08385467529297,72.71572875976562,43.095924377441406,23.44565200805664,56.08372497558594
2015-02-11,27.718669891357422,72.7374496459961,43.02957534790039,23.190488815307617,55.831058502197266
2015-02-12,28.069374084472656,71.3316879272461,43.9141960144043,23.069616317749023,56.92182540893555
2015-02-13,28.206995010375977,72.18672180175781,43.987911224365234,23.04813575744629,57.53802490234375
2015-02-17,28.37346076965332,72.78092193603516,44.30491638183594,23.088422775268555,57.34083938598633
2015-02-18,28.57100486755371,72.43310546875,43.76677322387695,23.17705726623535,56.08372497558594
2015-02-19,28.51107406616211,72.96932220458984,43.66354751586914,22.43304443359375,55.116233825683594
2015-02-20,28.74412727355957,73.1590347290039,44.08375549316406,22.64255142211914,55.41203308105469
2015-02-23,29.521007537841797,73.10064697265625,43.752017974853516,22.72313690185547,54.851253509521484
2015-02-24,29.336772918701172,73.48011016845703,44.8356819152832,22.715078353881836,55.10389709472656
2015-02-25,28.58654022216797,73.85225677490234,45.07158279418945,22.44647789001465,55.21482467651367
2015-02-26,28.94833755493164,75.01245880126953,45.395957946777344,22.508256912231445,54.62939453125
2015-02-27,28.5132999420166,74.80084991455078,45.17478561401367,22.543174743652344,54.56161880493164
2015-03-02,28.653121948242188,75.31893920898438,45.536014556884766,22.55123519897461,54.25347900390625
2015-03-03,28.71306037902832,74.67679595947266,45.683441162109375,22.39276695251465,53.99468231201172
2015-03-04,28.531055450439453,74.17330169677734,45.80140686035156,22.180574417114258,53.723533630371094
2015-03-05,28.058271408081055,74.80813598632812,45.70557403564453,22.44647789001465,53.452396392822266
2015-03-06,28.100448608398438,73.04959106445312,44.88727951049805,22.183256149291992,52.768367767333984
2015-03-09,28.220308303833008,73.450927734375,45.336971282958984,22.26114845275879,52.4787483215332
2015-03-10,27.636545181274414,72.62635040283203,44.20170974731445,22.04359245300293,51.924129486083984
2015-03-11,27.1326847076416,71.74344635009766,44.40812301635742,21.80310821533203,51.776241302490234
2015-03-12,27.62322998046875,72.84526824951172,45.24114227294922,22.130054473876953,51.89947509765625
2015-03-13,27.43233299255371,72.39286804199219,44.968379974365234,22.130054473876953,51.68378448486328
2015-03-16,27.734203338623047,73.74280548095703,45.59498977661133,22.505645751953125,52.23225021362305
2015-03-17,28.198102951049805,72.88907623291016,45.418067932128906,22.324602127075195,51.81318664550781
2015-03-18,28.51551055908203,74.03468322753906,45.52125930786133,22.300281524658203,53.03951644897461
2015-03-19,28.300212860107422,74.20250701904297,45.11581039428711,22.02737808227539,52.01655578613281
2015-03-20,27.945066452026367,74.72057342529297,45.52125930786133,22.492137908935547,52.0966682434082
2015-03-23,28.235843658447266,75.14380645751953,45.07158279418945,22.511049270629883,52.6451301574707
2015-03-24,28.120418548583984,74.39952087402344,44.57029724121094,22.440792083740234,52.08434295654297
2015-03-25,27.385732650756836,73.21742248535156,43.94368362426758,21.973337173461914,52.293846130371094
2015-03-26,27.576614379882812,73.07145690917969,43.89208221435547,22.127355575561523,51.96109390258789
2015-03-27,27.35686683654785,73.21742248535156,43.899452209472656,21.981441497802734,51.50508117675781
2015-03-30,28.04939079284668,74.10033416748047,44.93888473510742,22.300281524658203,52.768367767333984
2015-03-31,27.6187801361084,73.4071273803711,44.65875244140625,22.224624633789062,52.380130767822266
2015-04-01,27.578834533691406,72.34906005859375,44.48808670043945,21.80851173400879,52.04737091064453
2015-04-02,27.816326141357422,72.7066421508789,44.91107177734375,21.813913345336914,51.94877624511719
2015-04-06,28.26692008972168,72.35636901855469,44.873958587646484,21.884164810180664,52.460243225097656
2015-04-07,27.9694881439209,73.04232025146484,45.15595626831055,21.751768112182617,52.84231948852539
2015-04-08,27.878477096557617,73.08606719970703,45.30437469482422,21.894973754882812,51.80086898803711
2015-04-09,28.091567993164062,73.9398193359375,45.61605453491211,21.843639373779297,52.16444396972656
2015-04-10,28.211421966552734,74.47246551513672,45.78673553466797,21.79228973388672,52.725223541259766
2015-04-13,28.15593147277832,73.37063598632812,46.06130599975586,21.695018768310547,52.58967208862305
2015-04-14,28.033851623535156,73.3487319946289,46.7811279296875,21.65719223022461,53.384605407714844
2015-04-15,28.14040184020996,73.4071273803711,47.64936447143555,21.54640007019043,54.27814865112305
2015-04-16,28.005001068115234,72.81607818603516,47.3525390625,21.411300659179688,54.062461853027344
2015-04-17,27.68981170654297,72.66287231445312,46.632713317871094,21.043819427490234,53.5694694519043
2015-04-20,28.322404861450195,73.12255859375,46.929534912109375,21.114072799682617,53.760528564453125
2015-04-21,28.169246673583984,73.18822479248047,46.239418029785156,21.084346771240234,53.53866195678711
2015-04-22,28.548810958862305,73.2831039428711,46.70692443847656,21.192434310913086,53.89608383178711
2015-04-23,28.7818660736084,73.30496978759766,46.603023529052734,21.395090103149414,53.94538879394531
2015-04-24,28.91727066040039,73.75739288330078,46.45461654663086,21.573423385620117,53.59413146972656
2015-04-27,29.443317413330078,73.3925552368164,46.26166915893555,21.446426391601562,53.618778228759766
2015-04-28,28.979406356811523,73.5093002319336,46.573341369628906,21.37347412109375,54.105594635009766
2015-04-29,28.553245544433594,73.25391387939453,47.19669723510742,21.043819427490234,54.14874267578125
2015-04-30,27.778606414794922,72.38556671142578,46.94438171386719,21.08975601196289,53.84062576293945
2015-05-01,28.62204933166504,73.06417846679688,47.204124450683594,21.23836898803711,54.75265884399414
